Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
"SWISS, ITA",9:45 AM,9:35 AM+1,€684,24 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-19
"SWISS, ITAOperated by Air Baltic",3:05 PM,9:35 AM+1,€684,19 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Austrian, ITA",3:55 PM,9:35 AM+1,€684,18 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Brussels Airlines, ITA",9:55 AM,9:35 AM+1,€773,24 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,7:40 AM,6:10 PM,€791,11 hr 30 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,7:40 AM,8:30 AM+1,€791,25 hr 50 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,7:40 AM,6:10 PM+1,€791,35 hr 30 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,2:00 PM,8:30 AM+1,€791,19 hr 30 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,2:00 PM,6:10 PM+1,€791,29 hr 10 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,8:10 PM,8:30 AM+1,€791,13 hr 20 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,8:10 PM,6:10 PM+1,€791,23 hr,ORYParis-Orly Airport,2024-09-19
Air Algerie,9:00 AM,6:10 PM,€794,10 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,12:15 PM,6:10 PM,€794,6 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,3:30 PM,8:30 AM+1,€794,18 hr,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,6:00 PM,8:30 AM+1,€794,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,9:40 PM,8:30 AM+1,€794,11 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Jordanian,4:00 PM,12:35 PM+1,€837,21 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
Air Algerie,12:40 PM,8:30 AM+1,€839,20 hr 50 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,12:40 PM,8:30 AM+1,€839,20 hr 50 min,ORYParis-Orly Airport,2024-09-19
Air Algerie,8:10 PM,8:30 AM+2,€852,37 hr 20 min,ORYParis-Orly Airport,2024-09-19
"SWISS, ITA",9:45 AM,9:35 AM+1,€876,24 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-19
"SWISS, ITAOperated by Edelweiss Air",9:45 AM,9:35 AM+1,"€1,482",24 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-19
"SWISS, ITAOperated by Air Baltic, Edelweiss Air",3:05 PM,9:35 AM+1,"€1,482",19 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
Transavia,6:45 AM,8:15 AM,€88,2 hr 30 min,ORYParis-Orly Airport,2024-09-20
Tunisair,11:15 AM,12:40 PM,€102,2 hr 25 min,ORYParis-Orly Airport,2024-09-20
Nouvelair Tunisie,11:35 AM,1:05 PM,€103,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreWizz Air, Tunisair",1:25 PM,11:35 PM,€100,11 hr 10 min,BVABeauvais–Tillé Airport,2024-09-20
