Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
AIR ALGERIE,9:40 PM,8:30 AM+1,936.0,11 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-11,1,False
TURKISH AIRLINES,5:55 PM,4:15 PM+1,955.0,23 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-28,16,True
TURKISH AIRLINES,7:50 PM,4:15 PM+1,955.0,21 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-28,16,True
ROYAL JORDANIAN,4:00 PM,12:35 PM+1,960.0,21 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-05,11,False
TURKISH AIRLINES,7:20 AM,4:15 PM,965.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
AIR ALGERIE,12:40 PM,8:30 AM+1,980.0,20 hr 50 min,ORYParis-Orly Airport,2024-09-15,1,True
AIR ALGERIE,12:40 PM,8:30 AM+1,980.0,20 hr 50 min,ORYParis-Orly Airport,2024-09-14,1,True
AIR ALGERIE,12:40 PM,6:55 PM+1,980.0,31 hr 15 min,ORYParis-Orly Airport,2024-09-05,1,False
AIR ALGERIE,12:40 PM,8:30 AM+1,980.0,20 hr 50 min,ORYParis-Orly Airport,2024-09-04,1,False
AIR ALGERIE,12:40 PM,8:30 AM+1,980.0,20 hr 50 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,12:40 PM,9:25 AM+1,980.0,21 hr 45 min,ORYParis-Orly Airport,2024-09-10,1,False
AIR ALGERIE,12:40 PM,6:10 PM+1,980.0,30 hr 30 min,ORYParis-Orly Airport,2024-09-04,1,False
TURKISH AIRLINES,2:10 PM,10:40 PM,1043.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-15,16,True
TURKISH AIRLINES,7:50 PM,4:15 PM+1,1069.0,21 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-21,16,True
TURKISH AIRLINES,4:05 PM,4:15 PM+1,1069.0,25 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-21,16,True
TURKISH AIRLINES,2:10 PM,10:40 PM,1074.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-22,16,True
TURKISH AIRLINES,4:05 PM,10:40 PM,1074.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-22,16,True
ROYAL AIR MAROC,8:00 AM,4:55 PM,1095.0,9 hr 55 min,ORYParis-Orly Airport,2024-09-05,10,False
ROYAL AIR MAROC,1:15 PM,4:55 PM+1,1095.0,28 hr 40 min,ORYParis-Orly Airport,2024-09-04,10,False
ROYAL AIR MAROC,9:40 PM,4:55 PM+1,1095.0,20 hr 15 min,ORYParis-Orly Airport,2024-09-04,10,False
ROYAL AIR MAROC,6:30 PM,4:55 PM+1,1097.0,23 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04,10,False
